TABLE-1.8,,,,,,,
,,,,,,,
Incidence (I) & Rate (R) Of Cognizable Crimes (IPC) Under,,,,,,,
Different Crime Heads In States & UTs During 2011,,,,,,,
,,,,,,,
SI. No.,State/UT,Murder (Sec. 302 IPC),,Attempt To Commit Murder (Sec. 307 IPC),,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",
,,i,R,i,R,I,R
(1)_,_(2)_,(3),(4),(5),(6),(7),(8)
STATES:,,,,,,,
1,ANDHRA PRADESH,2808,3.3,2229,2.6,171,0.2
2,ARUNACHAL PRADESH,65,4.7,29,2.1,2,0.1
3,ASSAM,1303,4.2,504,1.6,48,0.2
4,BIHAR,3198,3.1,3327,3.2,348,0.3
5,CHHATTISGARH,1110,4.3,747,2.9,28,0.1
6,GOA,48,3.3,22,1.5,6,0.4
7,GUJARAT,1126,1.9,478,0.8,43,0.1
8,HARYANA,1062,4.2,851,3.4,60,0.2
9,HIMACHAL PRADESH,130,1.9,50,0.7,6,0.1
10,JAMMU & KASHMIR,169,1.3,494,3.9,29,0.2
11,JHARKHAND,1747,5.3,718,2.2,83,0.3
12,KARNATAKA,1820,3.0,1837,3.0,85,0.1
13,KERALA,365,1.1,521,1.6,105,0.3
14,MADHYA PRADESH,2511,3.5,2340,3.2,139,0.2
15,MAHARASHTRA,2818,2.5,2105,1.9,144,0.1
16,MANIPUR,78,2.9,245,9.0,4,0.1
17,MEGHALAYA,170,5.7,51,1.7,3,0.1
18,MIZORAM,26,2.4,24,2.2,8,0.7
19,NAGALAND,46,2.3,43,2.2,11,0.6
20,ODISHA,1477,3.5,1621,3.9,51,0.1
21,PUNJAB,842,3.0,997,3.6,112,0.4
22,RAJASTHAN,1461,2.1,1566,2.3,100,0.1
23,SIKKIM,14,2.3,7,1.2,8,1.3
24,TAMIL NADU,1877,2.6,2962,4.1,28,0.0
25,TRIPURA,163,4.4,75,2.0,0,0.0
26,UTTAR PRADESH,4951,2.5,4653,2.3,1454,0.7
27,UTTARAKHAND,178,1.8,189,1.9,54,0.5
28,WEST BENGAL,2109,2.3,2242,2.5,486,0.5
,TOTAL (STATES),33672,2.8,30927,2.6,3616,0.3
UNION TERRITORIES,,,,,,,
29,A & N ISLANDS,14,3.7,6,1.6,2,0.5
30,CHANDIGARH,24,2.3,40,3.8,6,0.6
31,D & N HAVELI,14,4.1,2,0.6,0,0.0
32,DAMAN & DILI,6,2.5,1,0.4,0,0.0
33,DELHI,543,3.2,386,2.3,71,0.4
34,LAKSHADWEEP,0,0.0,1,1.6,0,0.0
35,PUDUCHERRY,32,2.6,22,1.8,12,1.0
,TOTAL (UTs),633,3.2,458,2.3,91,0.5
,TOTAL (ALL-INDIA),34305,2.8,31385,2.6,3707,0.3
,,,,,,,
204,,,,,,,
